Program started.
g(n) (actual cost): 0.00, h(n) (heuristic cost): 12.00, f(n): 12.00
g(n) (actual cost): 1.55, h(n) (heuristic cost): 23.42, f(n): 24.96
g(n) (actual cost): 1.56, h(n) (heuristic cost): 23.42, f(n): 24.98
g(n) (actual cost): 1.57, h(n) (heuristic cost): 23.43, f(n): 25.00
g(n) (actual cost): 1.58, h(n) (heuristic cost): 23.43, f(n): 25.02
g(n) (actual cost): 1.59, h(n) (heuristic cost): 23.44, f(n): 25.03
g(n) (actual cost): 1.61, h(n) (heuristic cost): 23.45, f(n): 25.05
g(n) (actual cost): 1.62, h(n) (heuristic cost): 23.45, f(n): 25.07
g(n) (actual cost): 1.63, h(n) (heuristic cost): 23.46, f(n): 25.08
g(n) (actual cost): 1.65, h(n) (heuristic cost): 23.46, f(n): 25.11
g(n) (actual cost): 1.66, h(n) (heuristic cost): 23.47, f(n): 25.12
g(n) (actual cost): 1.66, h(n) (heuristic cost): 23.47, f(n): 25.13
g(n) (actual cost): 1.68, h(n) (heuristic cost): 23.48, f(n): 25.16
g(n) (actual cost): 1.69, h(n) (heuristic cost): 23.48, f(n): 25.17
g(n) (actual cost): 1.70, h(n) (heuristic cost): 23.48, f(n): 25.18
g(n) (actual cost): 1.71, h(n) (heuristic cost): 23.49, f(n): 25.20
g(n) (actual cost): 1.72, h(n) (heuristic cost): 23.49, f(n): 25.21
g(n) (actual cost): 1.73, h(n) (heuristic cost): 23.49, f(n): 25.21
g(n) (actual cost): 1.74, h(n) (heuristic cost): 23.49, f(n): 25.23
g(n) (actual cost): 1.75, h(n) (heuristic cost): 23.49, f(n): 25.24
g(n) (actual cost): 1.75, h(n) (heuristic cost): 23.49, f(n): 25.25
g(n) (actual cost): 1.77, h(n) (heuristic cost): 23.50, f(n): 25.27
g(n) (actual cost): 1.77, h(n) (heuristic cost): 23.50, f(n): 25.27
g(n) (actual cost): 1.78, h(n) (heuristic cost): 23.50, f(n): 25.28
g(n) (actual cost): 1.80, h(n) (heuristic cost): 23.50, f(n): 25.30
g(n) (actual cost): 1.80, h(n) (heuristic cost): 23.50, f(n): 25.30
g(n) (actual cost): 1.81, h(n) (heuristic cost): 23.50, f(n): 25.31
g(n) (actual cost): 1.82, h(n) (heuristic cost): 23.50, f(n): 25.32
g(n) (actual cost): 1.83, h(n) (heuristic cost): 23.50, f(n): 25.33
g(n) (actual cost): 1.84, h(n) (heuristic cost): 23.50, f(n): 25.34
g(n) (actual cost): 1.84, h(n) (heuristic cost): 23.50, f(n): 25.34
g(n) (actual cost): 1.85, h(n) (heuristic cost): 23.50, f(n): 25.36
g(n) (actual cost): 1.86, h(n) (heuristic cost): 23.50, f(n): 25.36
g(n) (actual cost): 1.87, h(n) (heuristic cost): 23.50, f(n): 25.37
g(n) (actual cost): 1.88, h(n) (heuristic cost): 23.50, f(n): 25.38
g(n) (actual cost): 1.89, h(n) (heuristic cost): 23.50, f(n): 25.39
g(n) (actual cost): 1.89, h(n) (heuristic cost): 23.50, f(n): 25.39
g(n) (actual cost): 1.90, h(n) (heuristic cost): 23.49, f(n): 25.39
g(n) (actual cost): 1.91, h(n) (heuristic cost): 23.49, f(n): 25.41
g(n) (actual cost): 1.92, h(n) (heuristic cost): 23.49, f(n): 25.41
g(n) (actual cost): 1.93, h(n) (heuristic cost): 23.49, f(n): 25.41
g(n) (actual cost): 1.94, h(n) (heuristic cost): 23.49, f(n): 25.43
g(n) (actual cost): 1.95, h(n) (heuristic cost): 23.48, f(n): 25.43
g(n) (actual cost): 1.96, h(n) (heuristic cost): 23.48, f(n): 25.43
g(n) (actual cost): 1.97, h(n) (heuristic cost): 23.47, f(n): 25.44
g(n) (actual cost): 1.98, h(n) (heuristic cost): 23.47, f(n): 25.45
g(n) (actual cost): 1.98, h(n) (heuristic cost): 23.46, f(n): 25.45
g(n) (actual cost): 2.00, h(n) (heuristic cost): 23.46, f(n): 25.46
g(n) (actual cost): 2.00, h(n) (heuristic cost): 23.46, f(n): 25.46
g(n) (actual cost): 2.01, h(n) (heuristic cost): 23.45, f(n): 25.46
g(n) (actual cost): 2.02, h(n) (heuristic cost): 23.45, f(n): 25.48
g(n) (actual cost): 2.03, h(n) (heuristic cost): 23.44, f(n): 25.48
g(n) (actual cost): 2.04, h(n) (heuristic cost): 23.44, f(n): 25.48
g(n) (actual cost): 2.05, h(n) (heuristic cost): 23.43, f(n): 25.48
g(n) (actual cost): 2.06, h(n) (heuristic cost): 23.43, f(n): 25.49
g(n) (actual cost): 2.07, h(n) (heuristic cost): 23.42, f(n): 25.49
g(n) (actual cost): 2.08, h(n) (heuristic cost): 23.41, f(n): 25.49
g(n) (actual cost): 2.09, h(n) (heuristic cost): 23.41, f(n): 25.50
g(n) (actual cost): 2.10, h(n) (heuristic cost): 23.40, f(n): 25.50
g(n) (actual cost): 2.11, h(n) (heuristic cost): 23.39, f(n): 25.50
g(n) (actual cost): 2.12, h(n) (heuristic cost): 23.39, f(n): 25.51
g(n) (actual cost): 2.13, h(n) (heuristic cost): 23.38, f(n): 25.51
g(n) (actual cost): 2.14, h(n) (heuristic cost): 23.37, f(n): 25.52
g(n) (actual cost): 2.16, h(n) (heuristic cost): 23.37, f(n): 25.52
g(n) (actual cost): 2.17, h(n) (heuristic cost): 23.35, f(n): 25.52
g(n) (actual cost): 2.18, h(n) (heuristic cost): 23.34, f(n): 25.52
g(n) (actual cost): 2.19, h(n) (heuristic cost): 23.34, f(n): 25.53
g(n) (actual cost): 2.20, h(n) (heuristic cost): 23.33, f(n): 25.53
g(n) (actual cost): 2.21, h(n) (heuristic cost): 23.32, f(n): 25.53
g(n) (actual cost): 2.22, h(n) (heuristic cost): 23.32, f(n): 25.54
g(n) (actual cost): 2.24, h(n) (heuristic cost): 23.31, f(n): 25.54
g(n) (actual cost): 2.25, h(n) (heuristic cost): 23.29, f(n): 25.54
g(n) (actual cost): 2.26, h(n) (heuristic cost): 23.28, f(n): 25.54
g(n) (actual cost): 2.27, h(n) (heuristic cost): 23.28, f(n): 25.55
g(n) (actual cost): 2.28, h(n) (heuristic cost): 23.26, f(n): 25.55
g(n) (actual cost): 2.30, h(n) (heuristic cost): 23.25, f(n): 25.55
g(n) (actual cost): 2.31, h(n) (heuristic cost): 23.24, f(n): 25.55
g(n) (actual cost): 2.33, h(n) (heuristic cost): 23.23, f(n): 25.56
g(n) (actual cost): 2.34, h(n) (heuristic cost): 23.22, f(n): 25.56
g(n) (actual cost): 2.35, h(n) (heuristic cost): 23.21, f(n): 25.56
g(n) (actual cost): 2.36, h(n) (heuristic cost): 23.20, f(n): 25.56
g(n) (actual cost): 2.38, h(n) (heuristic cost): 23.19, f(n): 25.56
g(n) (actual cost): 2.39, h(n) (heuristic cost): 23.18, f(n): 25.57
g(n) (actual cost): 2.40, h(n) (heuristic cost): 23.16, f(n): 25.57
g(n) (actual cost): 2.42, h(n) (heuristic cost): 23.15, f(n): 25.57
g(n) (actual cost): 2.43, h(n) (heuristic cost): 23.14, f(n): 25.57
g(n) (actual cost): 2.44, h(n) (heuristic cost): 23.13, f(n): 25.57
g(n) (actual cost): 2.46, h(n) (heuristic cost): 23.11, f(n): 25.57
g(n) (actual cost): 2.47, h(n) (heuristic cost): 23.10, f(n): 25.57
g(n) (actual cost): 2.49, h(n) (heuristic cost): 23.09, f(n): 25.58
g(n) (actual cost): 2.50, h(n) (heuristic cost): 23.07, f(n): 25.58
g(n) (actual cost): 2.52, h(n) (heuristic cost): 23.06, f(n): 25.58
g(n) (actual cost): 2.53, h(n) (heuristic cost): 23.05, f(n): 25.58
g(n) (actual cost): 2.55, h(n) (heuristic cost): 23.03, f(n): 25.58
g(n) (actual cost): 2.56, h(n) (heuristic cost): 23.02, f(n): 25.58
g(n) (actual cost): 2.58, h(n) (heuristic cost): 23.00, f(n): 25.58
g(n) (actual cost): 2.59, h(n) (heuristic cost): 22.99, f(n): 25.58
g(n) (actual cost): 2.61, h(n) (heuristic cost): 22.98, f(n): 25.58
g(n) (actual cost): 2.62, h(n) (heuristic cost): 22.96, f(n): 25.58
g(n) (actual cost): 2.64, h(n) (heuristic cost): 22.95, f(n): 25.59
g(n) (actual cost): 2.66, h(n) (heuristic cost): 22.93, f(n): 25.59
g(n) (actual cost): 2.67, h(n) (heuristic cost): 22.91, f(n): 25.59
g(n) (actual cost): 2.69, h(n) (heuristic cost): 22.90, f(n): 25.59
g(n) (actual cost): 2.71, h(n) (heuristic cost): 22.88, f(n): 25.59
g(n) (actual cost): 2.72, h(n) (heuristic cost): 22.87, f(n): 25.59
g(n) (actual cost): 2.74, h(n) (heuristic cost): 22.85, f(n): 25.59
g(n) (actual cost): 2.76, h(n) (heuristic cost): 22.83, f(n): 25.59
g(n) (actual cost): 2.78, h(n) (heuristic cost): 22.81, f(n): 25.59
g(n) (actual cost): 2.80, h(n) (heuristic cost): 22.79, f(n): 25.59
g(n) (actual cost): 2.82, h(n) (heuristic cost): 22.77, f(n): 25.59
g(n) (actual cost): 2.84, h(n) (heuristic cost): 22.75, f(n): 25.59
g(n) (actual cost): 2.86, h(n) (heuristic cost): 22.73, f(n): 25.60
g(n) (actual cost): 2.88, h(n) (heuristic cost): 22.71, f(n): 25.60
g(n) (actual cost): 2.91, h(n) (heuristic cost): 22.69, f(n): 25.60
g(n) (actual cost): 2.92, h(n) (heuristic cost): 22.68, f(n): 25.60
g(n) (actual cost): 2.95, h(n) (heuristic cost): 22.65, f(n): 25.60
g(n) (actual cost): 2.96, h(n) (heuristic cost): 22.63, f(n): 25.60
g(n) (actual cost): 2.98, h(n) (heuristic cost): 22.62, f(n): 25.60
g(n) (actual cost): 3.00, h(n) (heuristic cost): 22.60, f(n): 25.60
g(n) (actual cost): 3.02, h(n) (heuristic cost): 22.57, f(n): 25.60
g(n) (actual cost): 3.05, h(n) (heuristic cost): 22.55, f(n): 25.60
g(n) (actual cost): 3.08, h(n) (heuristic cost): 22.52, f(n): 25.60
g(n) (actual cost): 3.10, h(n) (heuristic cost): 22.50, f(n): 25.60
g(n) (actual cost): 3.12, h(n) (heuristic cost): 22.48, f(n): 25.60
g(n) (actual cost): 3.14, h(n) (heuristic cost): 22.46, f(n): 25.60
g(n) (actual cost): 3.17, h(n) (heuristic cost): 22.44, f(n): 25.60
g(n) (actual cost): 3.19, h(n) (heuristic cost): 22.42, f(n): 25.60
g(n) (actual cost): 3.21, h(n) (heuristic cost): 22.39, f(n): 25.60
g(n) (actual cost): 3.23, h(n) (heuristic cost): 22.37, f(n): 25.60
g(n) (actual cost): 3.26, h(n) (heuristic cost): 22.34, f(n): 25.60
g(n) (actual cost): 3.28, h(n) (heuristic cost): 22.32, f(n): 25.60
g(n) (actual cost): 3.30, h(n) (heuristic cost): 22.30, f(n): 25.60
g(n) (actual cost): 3.33, h(n) (heuristic cost): 22.28, f(n): 25.60
g(n) (actual cost): 3.34, h(n) (heuristic cost): 22.26, f(n): 25.60
g(n) (actual cost): 3.37, h(n) (heuristic cost): 22.24, f(n): 25.60
g(n) (actual cost): 3.39, h(n) (heuristic cost): 22.21, f(n): 25.60
g(n) (actual cost): 3.42, h(n) (heuristic cost): 22.19, f(n): 25.61
g(n) (actual cost): 3.45, h(n) (heuristic cost): 22.15, f(n): 25.61
g(n) (actual cost): 3.48, h(n) (heuristic cost): 22.13, f(n): 25.61
g(n) (actual cost): 3.51, h(n) (heuristic cost): 22.10, f(n): 25.61
g(n) (actual cost): 3.54, h(n) (heuristic cost): 22.07, f(n): 25.61
g(n) (actual cost): 3.56, h(n) (heuristic cost): 22.05, f(n): 25.61
g(n) (actual cost): 3.58, h(n) (heuristic cost): 22.03, f(n): 25.61
g(n) (actual cost): 3.60, h(n) (heuristic cost): 22.00, f(n): 25.61
g(n) (actual cost): 3.63, h(n) (heuristic cost): 21.98, f(n): 25.61
g(n) (actual cost): 3.65, h(n) (heuristic cost): 21.96, f(n): 25.61
g(n) (actual cost): 3.67, h(n) (heuristic cost): 21.93, f(n): 25.61
g(n) (actual cost): 3.69, h(n) (heuristic cost): 21.91, f(n): 25.61
g(n) (actual cost): 3.71, h(n) (heuristic cost): 21.89, f(n): 25.61
g(n) (actual cost): 3.74, h(n) (heuristic cost): 21.87, f(n): 25.61
g(n) (actual cost): 3.76, h(n) (heuristic cost): 21.85, f(n): 25.61
g(n) (actual cost): 3.79, h(n) (heuristic cost): 21.82, f(n): 25.61
g(n) (actual cost): 3.81, h(n) (heuristic cost): 21.80, f(n): 25.61
g(n) (actual cost): 3.83, h(n) (heuristic cost): 21.78, f(n): 25.61
Total runtime: 9.93 seconds.
